0.0375,0.0243,0.3739,0.0315,0.0743,0.4421,,0.0280,0.0179,0.4702,0.0398,0.0558,0.4260
0.0327,0.0229,0.3585,0.0361,0.0562,0.3297,,0.0341,0.0174,0.3156,0.0249,0.0621,0.3807
0.0266,0.0184,0.3685,0.0313,0.0541,0.3512,,0.0365,0.0208,0.4677,0.0312,0.0691,0.3271
0.0289,0.0250,0.2967,0.0322,0.0631,0.3793,,0.0389,0.0155,0.4325,0.0350,0.0629,0.4506
0.0287,0.0325,0.4058,0.0209,0.0613,0.2880,,0.0277,0.0206,0.4205,0.0333,0.0611,0.2866
0.0376,0.0291,0.4764,0.0396,0.0529,0.4591,,0.0382,0.0172,0.4694,0.0265,0.0570,0.3472
0.0358,0.0218,0.3117,0.0322,0.0676,0.3739,,0.0303,0.0169,0.4068,0.0306,0.0629,0.3709
0.0288,0.0239,0.4301,0.0331,0.0540,0.3857,,0.0350,0.0217,0.3178,0.0293,0.0599,0.2934
0.0280,0.0185,0.3721,0.0323,0.0572,0.3857,,0.0346,0.0183,0.4623,0.0350,0.0533,0.4341
0.0316,0.0240,0.3771,0.0321,0.0601,0.3772,,0.0337,0.0185,0.4181,0.0317,0.0605,0.3685
,,,,,,,,,,,,
0.0356,0.0270,0.3857,0.0265,0.0542,0.3800,,0.0302,0.0266,0.3091,0.0245,0.0643,0.3890
0.0394,0.0228,0.4524,0.0418,0.0591,0.3467,,0.0333,0.0247,0.4625,0.0329,0.0569,0.2946
0.0247,0.0228,0.2828,0.0258,0.0735,0.3824,,0.0229,0.0229,0.2967,0.0377,0.0751,0.4024
0.0312,0.0296,0.4065,0.0257,0.0604,0.2668,,0.0338,0.0207,0.2977,0.0350,0.0537,0.3723
0.0290,0.0249,0.2897,0.0306,0.0650,0.4466,,0.0354,0.0253,0.3956,0.0337,0.0660,0.4282
0.0312,0.0202,0.3633,0.0379,0.0593,0.4156,,0.0342,0.0352,0.3819,0.0294,0.0743,0.3317
0.0441,0.0225,0.3867,0.0325,0.0760,0.3393,,0.0324,0.0283,0.3532,0.0304,0.0670,0.4118
0.0306,0.0219,0.3192,0.0342,0.0671,0.4454,,0.0277,0.0346,0.3171,0.0387,0.0670,0.4259
0.0355,0.0277,0.4172,0.0333,0.0525,0.3404,,0.0322,0.0178,0.3331,0.0333,0.0615,0.3309
0.0335,0.0244,0.3671,0.0320,0.0630,0.3737,,0.0313,0.0262,0.3497,0.0328,0.0651,0.3763
,,,,,,,,,,,,
0.0306,0.0352,0.3027,0.0274,0.0468,0.3099,,0.0359,0.0213,0.3848,0.0266,0.0676,0.3827
0.0293,0.0278,0.3899,0.0392,0.0805,0.4238,,0.0392,0.0242,0.4321,0.0418,0.0520,0.3465
0.0326,0.0208,0.3275,0.0309,0.0562,0.4351,,0.0248,0.0306,0.2988,0.0251,0.0693,0.3824
0.0283,0.0195,0.4308,0.0439,0.0513,0.3881,,0.0283,0.0195,0.4308,0.0439,0.0513,0.3881
0.0316,0.0388,0.2833,0.0328,0.0582,0.3818,,0.0316,0.0388,0.2833,0.0328,0.0582,0.3818
0.0350,0.0260,0.4307,0.0338,0.0553,0.3315,,0.0350,0.0260,0.4307,0.0338,0.0553,0.3315
0.0311,0.0205,0.3681,0.0299,0.0540,0.3224,,0.0311,0.0205,0.3681,0.0299,0.0540,0.3224
0.0309,0.0252,0.3447,0.0289,0.0643,0.3694,,0.0309,0.0252,0.3447,0.0289,0.0643,0.3694
0.0327,0.0272,0.3191,0.0362,0.0590,0.4199,,0.0327,0.0272,0.3191,0.0362,0.0590,0.4199
0.0314,0.0268,0.3552,0.0337,0.0584,0.3757,,0.0322,0.0259,0.3658,0.0332,0.0590,0.3694
,,,,,,,,,,,,
0.0304,0.0231,0.2504,0.0277,0.0519,0.4537,,0.0293,0.0242,0.3968,0.0316,0.0553,0.3749
0.0286,0.0331,0.2992,0.0274,0.0709,0.3168,,0.0296,0.0190,0.3884,0.0323,0.0593,0.4079
0.0351,0.0197,0.4454,0.0390,0.0590,0.3173,,0.0342,0.0277,0.3873,0.0330,0.0488,0.3417
0.0277,0.0207,0.3182,0.0328,0.0598,0.3500,,0.0387,0.0252,0.3680,0.0347,0.0654,0.3249
0.0348,0.0230,0.3246,0.0286,0.0707,0.3191,,0.0313,0.0244,0.3996,0.0306,0.0629,0.3837
0.0294,0.0368,0.3802,0.0448,0.0612,0.4501,,0.0376,0.0212,0.3506,0.0377,0.0528,0.4582
0.0347,0.0345,0.4503,0.0300,0.0563,0.4040,,0.0271,0.0213,0.3016,0.0224,0.0586,0.3943
0.0350,0.0515,0.4222,0.0427,0.0770,0.3441,,0.0336,0.0346,0.2802,0.0330,0.0543,0.4335
0.0375,0.0208,0.2702,0.0232,0.0778,0.3538,,0.0323,0.0276,0.4240,0.0393,0.0655,0.2824
0.0326,0.0293,0.3512,0.0329,0.0650,0.3677,,0.0326,0.0250,0.3663,0.0327,0.0581,0.3779
